,Text,labels
38,It will certainly not be forgotten...and it will change this country completely,Non_hope_speech
39,All Lives Matter,Hope_speech
40,Sheriff and Larry/  Black on the outside white on the inside .  Sheriff and  Larry . Bending over for Trump .,Non_hope_speech
41,So sad they released the murderer...! Still exhibits...All these voices for justice is not yet completely validated. But the protest enlightened may people gave a huge distortion to racism!,Non_hope_speech
42,I am SO proud of this man. He came out to his family,Hope_speech
43,@Gameplay Central+ There is no actual evidence of God whatsoever. Instead we have great evidence of the Big Bang Theory and how our Earth was really made. The Big Bang was the result of thousands of neutrons and protons coming together and creating a blast of energy. Then,Non_hope_speech
44,@American Patriot! hell ya we would pay,Non_hope_speech
45,The guy with the pink shirt needs to shut up!!,Non_hope_speech
46,id wait until the cold weather comes,Non_hope_speech
47,@Jimmy Pop  Yeah I get what you're saying. There's some things I just can't get past. I honestly feel these last two album(s) she's made have been extremely dark. There's things that I've picked up where my conscious tells me 'that doesn't sound or look right.' You know? I often ask myself when listening to one her songs,Non_hope_speech
48,@Prima Materia And the Koran?,Non_hope_speech
49,They don't matter.,Non_hope_speech
50,Molly Cone No one cares if you are hateful,Non_hope_speech
51,@Glennda Sutherland   On FOX News,Non_hope_speech
52,BLACK LIVES MATTER?GUESS WHAT THERE IS RACIST BLACK PEOPLE WHO THERE LIVES DONT MATTER.RACISM IS NOT RIGHT COMING FROM ANY COLOR.,Non_hope_speech
53,How come people disliked? Those are the people against #blacklivesmatter. We are going to change the world. #nojusticenopeace,Non_hope_speech
54,I know that this isn't good for humanity because theres a lot of people there and corona every one? But this gives me some hope in humanity,Non_hope_speech
55,All these comments are exactly what is wrong with LGBT supporters. It’s all good until you say you’re not really for homosexuality but you can respect people’s decisions. So the girl with the short hair just has to be in the closet? What happened to not putting people in a box?,Non_hope_speech
56,my lives is matter,Non_hope_speech
57,We're not animals there's no alphas and betas. You could've said He's a righteous man that seems more appropriate.,Non_hope_speech
58,@twinkie -  Actually it's you who's being rude,Non_hope_speech
59,@John Thorpe Hey man,Non_hope_speech
60,I'm as straight as a circle lmao. I'm 12 and haven't come out to my parents yet because I know they wouldn't support me and our relationship would be ruined but I can't just pretend to be straight... I'll probably come out in a few years or so I guess but I know my parents won't send me to conversion therapy thank god. btw I'm pan anyone else or just me???,Hope_speech
61,Career choices depend on personality differences and result in differences in interest.  Women have different personalities than men and therefore they choose careers based around “people” 60% of the time.  Men choose careers based around “things” 60% of the time.  It’s biology not culture.  If a woman feels like she doesn’t fit in ANYWHERE,Hope_speech
62,It sows division. It causes real trauma in real people’s lives. It’s hateful.,Non_hope_speech
63,Covid 19 was still a thing last week when all the beaches were full of natives.,Non_hope_speech
64,36 Xx_R3d_Dr4g0n_xX I’m going to implore you to read the thread more carefully. I believe you may have missed some key points. Unless you’re unaware of the climate of America when these documents where written.,Non_hope_speech
65,ALL LIVES MATTER I AGREE NOT JUST CERTAIN LIVES OR RACES JUST A BUNCH OF CRY BABIES GET OVER IT.,Hope_speech
66,Black lives matters- trying to separate themself by race which in itself is racist.,Non_hope_speech
67,Again all lives matter,Hope_speech
68,This generation is the best because we talk back we act we are showing we are powerful and we are not going to be quite,Non_hope_speech
69,Police must take action against these criminals.,Non_hope_speech
70,So many girls think that engineering is boring and medical science is interesting??,Non_hope_speech
71,@Доктор Яйкин also they knew that being a cop was going to be dangerous and still took the job,Non_hope_speech
72,Madonna Louise Veronica Ciccone look what they´ve done to you....so sad,Non_hope_speech
73,Fireball Nephilium  You made an interesting point there. I think I mainly made my first statement because I wanted to indicate to the people in the comments why the term All lives matter may offend people. I think that those who say All lives matter can be divided into two groups,Non_hope_speech
74,All lives don’t matter. Congrats on saying that child molesters life matters.,Non_hope_speech
75,I am in engineering school right now,Non_hope_speech
76,President Trump and his next 4 years Matter.,Non_hope_speech
77,I used to mix potions and experiment the outcome on my dolls  I’m currently working on a degree in Computer Science with an engineering focus  love this video,Hope_speech
78,She was getting annoyed with his questions and kept saying that she’d already addressed them in her speech. 20 years ago,Non_hope_speech
79,No. It's equality when as a race your working in a deficit after years of oppression.,Non_hope_speech
80,They are privileged apologists!,Non_hope_speech
81,Go to  Russia an change the world,Non_hope_speech
82,same hairstyle from REBEL HEART,Non_hope_speech
83,I’m making some gayce friends this is nice,Non_hope_speech
84,After watching this im convinced I have potential. I loved playing with my dads construction tools and building games.  lol a bit too simple. Im watching this in 2019 because I'm studying IT in a class full of men . I don't want IT to be my end goal though but I do want the motivation to get through my first step. I have no idea where I'm gonna land lol.,Hope_speech
85,I got a degree in chemical engineering because of this video! I still cannot believe I did it ! Still debating if it was a good decision but hey it can't be undone now ... XD,Hope_speech
86,She is my new role model,Hope_speech
87,All lives mattter of course. The issue is tbat Black Lives haven't mattered as much,Non_hope_speech
88,I thinks it's more the BLM movements are just behind there time,Non_hope_speech
89,Joannot Fampionona How about I don't give a microfuck about your microaggresion?nnYou are not the speech,Non_hope_speech
90,Just anti-white racism.,Non_hope_speech
91,I've watched this video in 2017 this is very inspiring,Hope_speech
92,I'm a Maori from New Zealand and I love the way they designed Maui. To look like like a fat funny man over the buff serious Mary sue that he usually is depicted as.,Non_hope_speech
93,Being tolerated looool these agents are heeeelarious,Non_hope_speech
94,Wait that kid with red sweather is a girl?,Non_hope_speech
95,@miljenko 420 they all profit from  us.  We pay taxes and they give our money away to corporations and banks.  You think it's just the left?    You have your head in the sand.   All people are asking for is not to he killed and brutalized unjustly.   As an immigrant you should be disgusted with what happened to George Floyd and countess others.  If you are not,Non_hope_speech
96,This is all funded by soros to hate right wing to vote left . They are just robots,Non_hope_speech
97,handsome guy who is he,Non_hope_speech
98,She’s such a cold phony. It’s great that she shows supports for gays,Non_hope_speech
99,Some homophobic people are nice because there worrying about humanity so they care for us.,Non_hope_speech
100,Catherine was greater.,Non_hope_speech
101,No thanks mister yeah we are too hot for Jesus honey,Non_hope_speech
102,It was a different time. Slavery is still going on in Africa,Non_hope_speech
103,The most obvious question people should ask about conversion therapy,Non_hope_speech
104,@David Sanchez Racism will never end because the ideology of racism is akin to a primitive instinct. Human,Non_hope_speech
105,This video is from Obama was in office,Non_hope_speech
106,Whoever brainwashed you is evil.,Non_hope_speech
107,Yes the man was a slave trader but was a local Bristol MP who heavily invested into the city to make it the place it is today,Non_hope_speech
108,I am also a proud engineer.nAnd I feel If your story is not inspiring,Non_hope_speech
109,The little Asian girl in the sneakers is so smart!,Non_hope_speech
110,Tired of it. It is time for the younger generation to take over.... all the way. Get out of our way I’m 42 it’s our turn now.,Non_hope_speech
111,Why is it always only the blacks that matter! And they always quote black people on rasicm. Never see a black person quoting a white quote,Non_hope_speech
112,@xThisUsernameIsTakenNowx Don't make me laugh!,Non_hope_speech
113,I don't mean to be rude,Non_hope_speech
114,@Tyrone Marcus Clearly you know nothing about God.,Non_hope_speech
115,@Jay Tops Nobel peace prize nBut once again don't take God's love and return hate or Madonna because you'll end up pushing and living the dnc the party of death line. Where they herd the masses and make them unstable sinners to exploit nYouTube channel franciscanfriars nnTrump is not liked but it's a sin to vote dnc and cardinals had millions pray the rosary for Hilliary s defeat. nnMadonna recently looked different. Swearing and acting like a revolutionary. How is her family and husband ? Anyone know. Jesus Christ or Madonna. Choose. Can't have both sodomites,Non_hope_speech
116,Sheriff's da MAN,Non_hope_speech
117,Jesus loves everybody. Even filthy rich celebrities,Non_hope_speech
118,Madonna is currently the best selling singer on tourr. What's your problem? She is the queen of popr. The mdna tour (2012) she  made more than $305 million worldwide.,Non_hope_speech
119,I am a die hard Atheist and was raised in a christian home 18 years until I left for college. I recently got into a debate with some bible bashing door knockers. I explained that I knew about Christianity and all the lies that it promise me and never game me. I told them Jesus hates,Non_hope_speech
120,Sanders you are an EMBARRASSMENT - tell Bernie Palestinian lives matter for me. .,Non_hope_speech
121,Why is it so hard for people to separate talking about the movement and the slogan? As slogans,Non_hope_speech
122,@Amazing Worenwu blm is a hate group.  They call for violence against police and white people.,Non_hope_speech
123,The Athenians and Romans both defaced their own statues as their civilisations were starting to crumble.  We appear to be going through many of the common features of a collapsing society.,Non_hope_speech
124,And what is your evidence?,Non_hope_speech
125,The New Zealand prime minister,Non_hope_speech
126,Rodney king wasn’t killed by Police.,Non_hope_speech
127,Gays kissing is exactly the same to lesbians kissing. But it’s been exploited by the porn industry,Non_hope_speech
128,Always a pleasure watching Larry Elder smile in the face of stupidity,Non_hope_speech
129,Amen Sheriff Clarke.,Non_hope_speech
130,Why is it clowns like this guy dress up like cowboys ? If sailors dressed like pirates they would get laughed off the dock. Grow up people and use your minds instead of following cartoon characters.,Non_hope_speech
131,If we said only White Lives Matters we're the racist,Non_hope_speech
132,@connie schuiling Oh  my,Non_hope_speech
133,Kenny is Here my boss has 2 relatives that are fighting for their lives.,Non_hope_speech
134,TJ said something before that even though he's bi he knows most of his subscribers aren't so he wouldn't do it,Non_hope_speech
135,I agree with the cop,Non_hope_speech
136,Your dad did change the world and don't you forget that. R.I.P George Floyd,Non_hope_speech
137,Liqin Guo nlol if the george floyd was white,Non_hope_speech
138,During school I learnet that my friend was lesbian oh cool my friend is lesbian I respect them,Hope_speech
139,If this jerk is talking about Obama he’s right.,Non_hope_speech
140,So it’s ok to take the law into your own hands ....... it’s a disgrace,Non_hope_speech
141,@Savy the Niller Waffer What did i do?,Non_hope_speech
142,Black Lives Matter,Non_hope_speech
143,Thanks for reminding people that.,Non_hope_speech
144,Utter morons. Marxism will kill and enslave millions. This is an international tantrum created by the media for needy low information idiots.,Non_hope_speech
145,yorocco1 - spot on,Non_hope_speech
146,Good work guys. I grew up near Bristol,Non_hope_speech
147,Wow... I disagreed with TJ once for the first time in... since... Err for the first time ever...,Non_hope_speech
148,Oh hey burned chicken nugget!,Non_hope_speech
149,okay ummmm how the heck is conversion therapy legal?!,Non_hope_speech
150,@KingintheMountain When it comes to police shootings it was found there to be no overall racial bias. Whites were more likely to be killed per police encounter.  So why aren't they focusing on the murder rates in black communities? BLM operates on false narratives and doesn't focus on the major problems facing black people. nnAll lives matter. RIP Tony Timpa,Non_hope_speech
151,You're a fucking idiot. That would mean NOT everyone has food,Non_hope_speech
152,So everyone just forgot about Hong Kong?,Non_hope_speech
153,If the Arseholes in Parliament and councils had done the decent thing and removed them in the first place,Non_hope_speech
154,It's hurting when people like the sheriff talking like that coz he feels white after making it to the whites club,Non_hope_speech
155,Simple analogy if only one house on a street is on fire are you going to pour water on all the houses in the street? nnNo obviously not because there is only a problem in one house.nnBlack people are being targeted by police at a disproportionately higher rate than white people which is why the black lives matter as well movement has started,Non_hope_speech
156,Feminism are intolerant they get affanded easily just be youself,Non_hope_speech
157,She's not a lesbian for having short hair.,Non_hope_speech
158,Just remember that at the end of the day no matter your sexuality,Hope_speech
159,2020 is such a good year,Non_hope_speech
160,too late most those teachers are dems,Non_hope_speech
161,Amazing how those numbers are SO much better for all Americans and the dimocrats still hate our President Trump,Non_hope_speech
162,Joshua Fernandes I mean if the all social distances then self,Non_hope_speech
163,Theodore Haskins bro listen to yourself,Non_hope_speech
164,So only people killed by cops I see hmmmm is it really black lives matter or is it Marxism,Non_hope_speech
165,Why not live stream?,Non_hope_speech
166,@K W Well considering this is a post related to the protests that's why he is saying it. Any mass gatherings at this time no matter the reason are going to spread the virus which is something we all want to avoid. I agree with the message of the protest but it's not the right time to do it.,Hope_speech
167,That moment when you think you are oppressed because your skin colour but disagree with equal rights.nnNicely done mr. and mrs. brain,Non_hope_speech
168,nothing exposes how BLM just don't matter attacking gay men seems to be there new thing claiming gay men fetishise black men which just exposes there total Racism.,Non_hope_speech
169,you have no clue what conversion therapy is like you troglodyte,Non_hope_speech
170,Not all around the world it's some parts of the world,Non_hope_speech
171,Sheriff Clark is a AMERICAN BADASS!,Non_hope_speech
172,It’s really stupid... my friend’s parents threatened her with conversion therapy.. her dad is a pastor and found out 2 weeks ago..,Hope_speech
173,@olivia x riggs  You could have just read through my comments to get your answer to your question. Yes,Non_hope_speech
174,Um? Short hair doesn’t mean lesbian stfu,Non_hope_speech
175,Just checked out Goldie Blox. I wish I got to play with such toys when I was little!,Non_hope_speech
176,I'm laughing too at your precious White Racist symbols being torn down and defaced.,Non_hope_speech
177,I'm sorry but reading this comment section I can clearly see that I'm not the only who thought the one who said “I don’t agree with homosexuality” looked the gayest one out of all of them LMFAO.,Non_hope_speech
178,wtf kinda stuff are you saying about people you observe on an edited,Non_hope_speech
179,vinnykster 1) Childress 12/5/15 2) Betty Jones 12/25/15 3) Kev Matthews 12/23/15 4) Noel 12/21/15 5)Browning 2016 7) Roy Nelson 8) Nat Picket....want me to continue. No officers have been charged btw,Non_hope_speech
180,Skylabour must of loved it.,Non_hope_speech
181,This planet and all living beings matter.  Stop hurting.,Non_hope_speech
182,@jmal there's only a small amount of the population that still believes that,Non_hope_speech
183,I am a white male. I am a web a developer. I do not consider my experiences to commensurate with that of POC nor women.nBut one of the statements caught me a little off guard,Non_hope_speech
184,Focus on the demand and not the supply.,Non_hope_speech
185,Let's bring back Martin Luther King's speech and ethos not these BLM and Antifa marxist movement.,Non_hope_speech
186,Wow. White lives don't matter. Looks like they're setting us up for a race war.,Non_hope_speech
187,Smokeed  although for what I don’t get at the same time believe me before it was that one rogue cop that did something to George Floyd George Floyd was actually a criminal before all of this news coverage and got arrested a couple of times before the media covered him I mean all lives matter is saying it in equality that all lives matter this means black white everyone not in a deserve to live or die that I decided by the justice system if they committed crime but everyone has the same rights in this great nation even black conservatives don’t like the BLM movement for it does not even help the real black community but sometimes the opposite,Non_hope_speech
188,Where I come from  you’d better not vote “green”!   Cause they’re a bunch of sad A-holes!,Non_hope_speech
189,What is disgraceful is simple racism,Non_hope_speech
190,Hypocrisy what did you do all these years,Non_hope_speech
191,not that i agree with what they did for him but there is people who want to be converted for whatever their reasons,Non_hope_speech
192,All lives matter that encompasses BLM,Non_hope_speech
193,​@Alan Bstrd Btw - love the name! The New Statesman was hilarious - R.I.P. Rik Mayall,Non_hope_speech
194,Why? Because she has short hair? How about you go piss off?,Non_hope_speech
195,Bro your profile pic,Non_hope_speech
196,the muslims are coming right for us BANG!,Non_hope_speech
197,crystal has restored my faith in humanity,Hope_speech
198,Oct 10 2020 is the planned alien invasion. nJfk 11/22 apollo 11 spent 22hrs on moon. nSee the 1122. Now look at 10/10/2020 take away the zeros and its 1122.,Non_hope_speech
199,Didn't God created us all equal? That means we are all matter! Oh now it's their word against God's.,Non_hope_speech
200,It's says if a black persons life does not MATTER THEN HOW CAN ALL LIVES MATTER????,Non_hope_speech
201,They are trying but can't police there is in control of china,Non_hope_speech
202,ALL LIVES MATTER .... IF YOU,Non_hope_speech
203,Oh Stuart. Your simple mind on display for all to see.,Non_hope_speech
204,Bernie basically said,Non_hope_speech
205,Here's what's really happening.And let me explain it this way.nnIn wildlife conservation,Non_hope_speech
206,I love all people regardless of race,Hope_speech
207,BOOOO. WE WANT EQUALITY BUT LETS BE RACIST TO EVERYONE ELSE WHO ISN'T OUR SKIN COLOR BOOOOO,Non_hope_speech
208,The British government paid slavery reparations...to the slave owners!,Non_hope_speech
209,You can't deny the coaxing of family,Non_hope_speech
210,I really like that one girl who said she didn’t agree with LGBTQ+,Non_hope_speech
211,I prefer the editing in TWIS,Non_hope_speech
212,Its 125 years old and was built because when he died he donated his fortune to the city and when he was alive he donated money to schools,Non_hope_speech
213,@Indigenous Supporter Thanks for the interesting info,Non_hope_speech
214,@xThisUsernameIsTakenNowx all lives matter,Hope_speech
215,left wing extremists,Non_hope_speech
216,Madonna thought me to be on the side that's winning . & if any side should loose . Then jump cause it's bad 4 concert ticket sales .,Non_hope_speech
217,That sheriff is scary,Non_hope_speech
218,@Mr Green I guess we like the same colour Mr green,Non_hope_speech
219,Your not black if you don’t vote Biden lol black votes matter !!!!!,Non_hope_speech
220,@Carol Danvers which studies? There are also countless studies that show that the wage gap is myth. Again,Non_hope_speech
221,(Tears in my eyes touched) Wait... I thought that 'boyish' girl was butch?,Non_hope_speech
222,They want to Make africa out of america,Non_hope_speech
223,@Geo L What LJ meant to say was not that racism doesn't exist just not on the scale that is portrayed by the media. Remember there's plenty of racial prejudice on either side.,Non_hope_speech
224,Hit the nail on the head buddy. Only the dumb can’t see it,Non_hope_speech
225,@Insidious Yes he's running the country but you have mayors running their cities along with governors running their states my guy. Don't be an idiot.,Non_hope_speech
226,they should say all votes matter,Non_hope_speech
227,He doesn't even have a legacy because everyone will forget about this time where all the people that rioted looked themselves in the mirror and say to themselves I am an idiot,Non_hope_speech
228,@Pancho Mulongeni She redefined being ladylike??  I don't think so.,Non_hope_speech
229,@Paul Gavin Unfortunately that appears to be true,Non_hope_speech
230,Thank God I'm Asian because if I were white,Non_hope_speech
231,BLM needs our white community to survive. Farmers to union workers to truckers all providing living conditions. Dont get it twisted. Unless u n Antifa want to live side by side go ahead lmao. Awkward.,Non_hope_speech
232,So BLM once again decided to block people from carrying on with their day? Run 'em over.nnOK,Non_hope_speech
233,Animal lives also falls into all lives matter,Hope_speech
234,@Ashley Laurencya You are making no sense and you grammar is horrible. GO. TO. SCHOOL.,Non_hope_speech
235,any group that reinforces who you must be; who one is deserves such devotion.  Madonna is really a wonderful woman to some people,Hope_speech
236,I'd like to see you go through all that.,Non_hope_speech
237,Some racist nutter will pay good money for that statue. .,Non_hope_speech
238,@night light   The Egyptian indigenous are Not the Egyptian of today . The true ancient Egypt is a tribal called Nubian. They're still largely present in the southern Egyptian  valley.  They're black basically as Egypt is already geographical located in African. Morocco. Tunisia.algeria and Libya were all black once upon a time. However they're still black citizens  in those countries  but live in countrysides. Modern Egyptian falsified the Egyptian history of nubian but many know the fact. Go to Google and time Nubian.,Non_hope_speech
239,wont be fun with the big fines or even prison sentences   the clowns are all on film,Non_hope_speech
240,We know that clown. But Black lives matter TOO..,Non_hope_speech
241,What would Jesus do for a Klondike Bar?,Non_hope_speech
242,Not me!!!nI'm on oxygen,Non_hope_speech
243,@ImAlfie Just leave her alone. She wouldn't want to look at the comment finding people asking about her sexuality because that's weird. Its none of our business.,Hope_speech
244,Not if the sign had a picture of Homer Simpson on it.,Non_hope_speech
245,Knowing this lot they will rip down my hometown statue of admiral Blake even though he is famous for saving over a thousand slaves and sailing them home and the fact that bridgwater is the 1st town in the UK that abolished slavery. Bet not a single person knows that in the entire comments section and every person that went to this protest. I come from the 1st town in England to say no to slavery,Non_hope_speech
246,I should imagine that this business is going to get bigger,Non_hope_speech
247,Someone from Lebanon tweeted earlier this year about an advert she saw selling a black woman (presumably from sub-saharan Africa). The slave trade is still alive and well in the middle east.,Non_hope_speech
248,I came out at the age of 6,Hope_speech
249,oh I get it. so is Sandy saying his life doesn't matter ONLY black lives matter? oh boy.....how sick this is.,Non_hope_speech
250,This sherrif can stop me all the time for my white privilage and we can have a nice chat.What a straight up guy.,Non_hope_speech
251,No lives matter until black lives matter and black lives are respected and treated like white lives.,Non_hope_speech
252,Where has Sheriff Clark been????   We need more of his accurate assessments Minute to Minute!!!,Non_hope_speech
253,Ainura Cc hi. That’s the name of the official organization. I also think if the organization had a different name let’s say “black lives matter too” it will still get twisted in order to dilute the meaning. I agree that all lives matter but people only started saying that AFTER black lives matter became a thing,Non_hope_speech
254,Im from toronto,Non_hope_speech
255,It’s comets like yours that tear people down. So u should not be saying this,Non_hope_speech
256,So based on the black man between the other two,Non_hope_speech
257,César Valdivia in favour of what?,Non_hope_speech
258,yes but protestors are retards,Non_hope_speech
259,I want to apologise on behalf of the Indian society in regards to preeti patel. Any one who thinks that this statue should not have been demolished is an oppressor in disguise and we Indians will never stand among these people. Let's bring down some more slave traders 🤟🤟🤟🤟 let's bring down racism !!  Hari bol !!,Non_hope_speech
260,Aftwr all Covid 19 gives a nice welcome to all people,Non_hope_speech
261,I am pansexual and I’m a he/him/she/her but feel more comfortable and confident in my boy “stage”nnI’ve got slapped by my friend at school because I said I’d date her or her guy friend.. she doesn’t accept that I want to be called Devin now because it’s a girl/boy name!,Non_hope_speech
262,As a Mexican I've been seen more racist black people in the usa black people hate white and Spanish people!!!!,Non_hope_speech
263,It did start with demcrats,Non_hope_speech
264,@iglidornBecause our leaders are cowards and would rather give in to BLM than do the right thing.,Non_hope_speech
265,these movements are NOT free market based- it's GOVERNMENT policies and tax cuts/funding which drives naffirmative action female hiring quotas.,Non_hope_speech
266,@Sandra McDonald Capital 'G' actually and He would not support racism,Non_hope_speech
267,Black lives only matter,Non_hope_speech
268,Imagine if after Martin Luther King jr’s “I have a dream speech” white peoples went around shouting “all colors have a dream too” nnLike seriously 🤦‍ do you guys have to make everything about you nnnBlack peoples are trying to fight for justice by saying they matter nnAnd you white people have to come out of nowhere screaming all “lives matter” 🤦‍ seriouslynnThis fight for their justice  has nothing to do with you people and yet you sorry asses want to jump in every black protest and make it about y’allnnthats just playing white privileged right there,Non_hope_speech
269,Big story erases messages by the way.,Non_hope_speech
270,I feel the same way you do. I'm taking calculus which is no even a hard class but I feel so small sometimes. Only 3 girls in my class. I'm the only hispanic. Everytime I feel like giving up I watch this video and it helps a lot ;),Hope_speech
271,He's IN his grave because someone decided his Black Life didn't matter!!!,Non_hope_speech
272,Leviticus holds the rules for the Israelites. It's not saying they still apply today.,Non_hope_speech
273,+48thRonin I can't tell if you're acting stupid,Non_hope_speech
274,@my dog baily neither is your comment,Non_hope_speech
275,We're going to need more Sheriff Clarks the way it's looking.,Non_hope_speech
276,darthevil9999 he’s not a survivor of anything lmao,Non_hope_speech
277,Religion is great isn't it,Non_hope_speech
278,Yep that was exactly what I would do as a teen. When I was around my parents I was the most stereotypical straight person but around my friends I was full on queer. It makes sense if she is.,Hope_speech
279,Jack Parsons You mean where are their parents with “Kids live matters” movement.,Non_hope_speech
280,I think she's closeted and is repressing that side of her because she comes from a conservative,Non_hope_speech
281,As far as the Left is concerned....NO LIFE MATTERS!,Non_hope_speech
282,I have a hard time understanding this. BLM now turns into riots and violence,Non_hope_speech
283,Her Ear though.,Non_hope_speech
284,S. Tagerius only in 2 states,Non_hope_speech
285,You know it friend!,Non_hope_speech
286,Cancel gangster music peace,Non_hope_speech
287,@Sapphire Sword Lol,Non_hope_speech
288,I am a woman and an Engineer and I feel like I fit in just fine.,Hope_speech
289,There are no words to describe her influence in so many areas. As a long time fan I am still discovering new things every day. She leads the pack,Non_hope_speech
290,Madonna is so genuine in this interview,Non_hope_speech
291,What do you do?  Sounds like someone asking which field they specialize in.,Non_hope_speech
292,Darzo Xx you know what. Racism is dangerous. Try care are about the real problem,Non_hope_speech
293,@Cáca Milis sa Seomra Spraoi You pretend to take the moral high ground but you seem to be hating on boomers - I bet on gays too. Anyone who isn’t you basically - I bet you want free stuff too - who pays for that then?,Non_hope_speech
294,We need justice for hern,Non_hope_speech
295,@BLACK LIVES MATTER actually it is havent you herd that the guy litelry had a fucking gun pointed at a pregnant women and stole her money yall praising a criminal like a god you should be ashamed.,Non_hope_speech
296,All black panel. How smart is that. And what is up with the that sheriff and slavery? He loves that word.,Non_hope_speech
297,think about your projects ladies,Non_hope_speech
298,I do not understand why you go after people liveing check to check rather than makeing sure all Democratic leaders are not in your new Country . Why is Seattle Washington State not  supporting  your new nation? Why is your movement not going into the diamond district of NYC or in every city's gated community? Why is Obama,Non_hope_speech
299,This is hard enough to watch but when he said the loneliness the tears came!,Non_hope_speech
300,Can me and him be whovian buddies?,Non_hope_speech
301,@Jimmy The Clown,Non_hope_speech
302,black lives matter is racist,Non_hope_speech
303,Clinically Happy load of rubbish to think it’s just black people that are mistreated in society. White kids smoking meth ain’t a result of race,Non_hope_speech
304,BECAUSE THEY ARE RACISTS !,Non_hope_speech
305,That was funny at the end when Larry said 'What are we arguing about then'. haha but that said,Non_hope_speech
306,What the hell?,Non_hope_speech
307,Let’s talk about Hispanics also,Non_hope_speech
308,My God this Sheriff needs to run for office he is awesome speaks the truth just like it's supposed to be. These leftist politicians will say anything just to stay popular and in the office. It's obvious they don't care about this country it's being destroyed from within and do they want to stand up for it no it's all about now and that's it,Non_hope_speech
309,Say all lives matter is,Hope_speech
310,@Dragz johnson just because he was less racist then Hitler and stopped hitler (who you know bombed them,Non_hope_speech
311,Thats right....she doesnt have the right to her opinions or feelings!!! Preach,Non_hope_speech
312,I wish everyone wouldn't give a single s*** about color,Non_hope_speech
313,Let's dispel with this notion that Donald Trump doesn't know what he's doing. He knows exactly what he's doing.,Non_hope_speech
314,Hey come on they don’t have the brains. They only know how to scream and shout and smash things up,Non_hope_speech
